# y_star x_star theta
374.000 781.000 -2.969
375.000 933.000 -2.579
377.000 1086.000 -2.226
380.000 1239.000 -1.907
385.000 1384.000 -1.602
485.000 770.000 -2.609
489.000 929.000 -2.438
497.000 1082.000 -2.160
501.000 1234.000 -1.998
507.000 1379.000 -1.949
534.000 765.000 -2.423
532.000 917.000 -2.345
532.000 1078.000 -2.163
534.000 1231.000 -2.054
540.000 1374.000 -2.031
687.000 761.000 -1.860
685.000 913.000 -2.019
682.000 1073.000 -2.102
684.000 1225.000 -2.213
688.000 1370.000 -2.286
827.000 755.000 -1.358
825.000 914.000 -1.717
827.000 1067.000 -1.943
830.000 1220.000 -2.246
835.000 1364.000 -2.616
