# y_star x_star theta
372.000 551.000 -2.788
372.000 703.000 -2.342
374.000 855.000 -2.018
375.000 1008.000 -1.536
377.000 1160.000 -1.102
519.000 545.000 -2.055
519.000 697.000 -1.763
520.000 850.000 -1.672
522.000 1002.000 -1.493
524.000 1154.000 -1.303
666.000 540.000 -1.248
666.000 692.000 -1.242
666.000 844.000 -1.451
668.000 995.000 -1.439
672.000 1147.000 -1.437
813.000 532.000 -0.406
814.000 684.000 -0.624
816.000 836.000 -1.169
819.000 988.000 -1.298
820.000 1142.000 -1.485
963.000 525.000 0.481
963.000 678.000 0.115
964.000 830.000 -0.729
965.000 982.000 -1.166
967.000 1134.000 -1.568
