# y_star x_star theta
387.000 442.000 -1.823
383.000 594.000 -1.398
379.000 747.000 -1.312
377.000 900.000 -0.924
375.000 1052.000 -0.683
536.000 440.000 -1.197
530.000 592.000 -1.001
526.000 745.000 -1.150
524.000 898.000 -0.948
521.000 1050.000 -0.878
684.000 438.000 -0.525
678.000 591.000 -0.650
675.000 743.000 -0.917
672.000 896.000 -1.029
670.000 1048.000 -1.161
831.000 435.000 0.101
825.000 588.000 -0.244
822.000 740.000 -0.788
820.000 893.000 -1.145
818.000 1045.000 -1.374
980.000 433.000 0.847
976.000 586.000 0.175
972.000 738.000 -0.701
969.000 892.000 -1.157
968.000 1044.000 -1.646
